,product_code,expiry_date,product_short_desc_storage,product_packaging,product_prescription_reco,supplier,supplier_country,batch_number,product_description_storage_raw
263,SSDTMALP25T2,2028-04-30,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18L70,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18L70"
264,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H69,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H69"
265,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H61,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H61"
266,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H66,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H66"
267,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H67,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H67"
268,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H64,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H64"
269,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H65,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H65"
270,SSDTMALP25T2,2028-01-31,TEST MALARIA Pf [HRP-2] Ag RDT,st,1test [CareStart RMOM-02571],Access Bio,Inc.USA,MO18H63,"TEST MALARIA Pf [HRP-2] Ag RDT, st,1test [CareStart RMOM-02571](Access Bio,Inc.USA):MO18H63"
271,DINFDEXT5FBF5,2028-09-15,GLUCOSE,5%,500 ml,Shijiazhuang No 4 Pharmqceutical Co.Ltd,China,1809161901,"GLUCOSE, 5%, 500 ml, poche souple, sans PVC(Shijiazhuang No 4 Pharmqceutical Co.Ltd,China):1809161901"
272,DINFDEXT5FBF5,2028-09-15,GLUCOSE,5%,500 ml,Shijiazhuang No 4 Pharmqceutical Co.Ltd,China,1809161902,"GLUCOSE, 5%, 500 ml, poche souple, sans PVC(Shijiazhuang No 4 Pharmqceutical Co.Ltd,China):1809161902"
